fiber_id,u_px,v_px,X_true_um,Y_true_um,X_meas_um,Y_meas_um,dX_um,dY_um,radial_err_um,detect_success
53,6701.763961121841,5356.237631181278,-55924.376080148984,4415.016704999725,-55925.208981093034,4417.229893981155,0.8329009440494701,-2.213188981429994,2.3647260835288373,True
54,7379.4370074820745,5090.203238653428,38027.9452902358,-33415.65446993921,38030.27025043972,-33416.688475969415,-2.324960203914088,1.034006030204182,2.5445251856255715,True
55,7908.470714027611,6143.90748900304,112942.30640187266,112564.38988478319,112940.2017070117,112563.91153529301,2.1046948609582614,0.47834949017851613,2.1583694522713577,True
56,6594.667954458405,4832.702905586147,-71464.61236583536,-68293.28750995768,-71465.56371243781,-68293.31990229982,0.9513466024509398,0.03239234213833697,0.9518979051474762,True
57,6444.780960498384,5142.1765188495565,-91940.84851242436,-25052.728639209483,-91943.17191065292,-25053.39242161021,2.3233982285601087,0.6637824007266317,2.416358086871783,True
58,7519.497610217619,5075.161691219915,57498.05253772109,-35680.784373854185,57498.79351441086,-35680.35015299797,-0.7409766897762893,-0.4342208562156884,0.8588330494132795,True
59,6237.749940525645,6126.989246380238,-119577.62565725658,112241.93066011823,-119579.34066194145,112240.97616048965,1.7150046848692,0.954499628584017,1.9627303966898588,True
60,7870.400614154614,5898.4983927064695,107333.57908884552,78452.57918596739,107334.22520239529,78451.77269934045,-0.6461135497665964,0.8064866269414779,1.0333844389323048,True
61,7748.977611870723,4921.023738875525,89245.80070307007,-57409.084087618074,89245.2435284447,-57408.0296795662,0.557174625369953,-1.0544080518739065,1.1925686156413284,True
62,6981.2781989541345,6052.19234762799,-16194.400365718262,100910.40887336721,-16195.52185343433,100908.62190704673,1.1214877160673495,1.7869663204764947,2.109735369141652,True
63,6755.7636131417985,4502.780169749169,-49455.66791503783,-114400.69974030856,-49456.467012990084,-114399.97740268924,0.7990979522510315,-0.722337619314203,1.0771857655800612,True
64,7567.885892284995,6125.572176308516,65514.735922120104,110413.83921353854,65515.0529815252,110413.61410309389,-0.3170594050970976,0.22511044464772567,0.38884621465307107,True
65,7310.3696355105985,4987.262279704095,28296.398516108893,-47654.62204958372,28296.758964413904,-47654.17802230989,-0.36044830501123215,-0.4440272738283966,0.5719118817518553,True
66,7184.435609612051,5520.956779545381,11424.616795641283,26746.561522058328,11424.061507045672,26746.151903424357,0.5552885956112732,0.4096186339702399,0.6900238037282377,True
